,Sub0,Sub1,Sub2,Sub3,Sub4,Sub5,Sub6,Sub7,Sub8,Sub9,Sub10,Sub11,Sub12,Sub13,Sub14,Sub15,Sub16,Sub17,Sub18,Sub19
Tri26,3425.9430521652916,2960.328053274364,2058.4229087724807,2792.324987990817,2366.328680778293,5725.728256577667,1011.7378950465663,2399.55580608157,2611.716052226486,5671.847403469819,4001.4360403881283,4696.457378645208,1134.304194353304,1819.079807708189,6214.829224682243,6221.959882122505,587.6116468643712,1666.1176879742216,2720.3370900150594,4027.341896587631
Tri27,3343.1058677436295,3245.5637101204475,4974.583632272884,23.429443898274616,4954.807144333369,2755.752429826072,1775.5843280341755,5829.7672818077435,2597.3947223069313,6390.433703494923,2748.032360393832,6592.43724499311,2420.9185900672733,2744.3396708328128,5943.495369311199,7500.719769493484,2714.6341381630655,7112.070672551679,5129.402693067523,4819.21257661104
Tri28,2170.4747687548006,3573.187791636911,5821.914517365882,4277.443964041181,1570.9027412864436,5864.062179331246,1338.7124018883849,2062.441170704375,1444.1391813107743,4584.654047258165,4684.956953356678,5955.686111606733,3997.0291072596465,765.4611864291776,5388.946834022064,4428.598435963846,1248.9065605129117,1018.5625758769903,3137.5211164512243,6439.059401904038
Tri29,3201.9886241392214,878.4967214837977,1157.1606369156952,6449.023513563756,2686.624157146787,4180.357765266875,213.1952057580433,3046.3083311159007,2865.075880613556,2478.6238336706506,5169.5390956845695,4025.6662010841283,2542.1097541415947,4541.15490701678,2248.2763346832407,1793.3475325370655,2628.103510816108,2009.5675066924205,2917.6410004879062,4727.321300765887
Tri30,885.8273982939671,2673.1252763774414,2197.8112696143016,1198.9409466913971,3879.5321684546266,4771.844126055744,2833.712379406322,2918.26001844096,1467.8589268958774,4912.534401978278,1334.0765062749238,6043.634239344983,2248.499112859091,643.4861205836014,4064.5265594732864,4346.336603625403,1879.8376707086502,2099.5589544860804,1445.3463494064113,5570.111721071999
Tri31,1215.6430234026673,220.11175914107005,1752.7211107007333,2818.1060623766257,3755.5756720635472,9540.817848137778,1265.079105514014,4522.887864067714,5608.034531954423,4202.107653784459,2198.106445326465,4622.118870892487,3435.67464944345,529.4786274456981,2181.626741543949,7203.344433063824,4193.048640564491,3682.097613007653,2274.8176438332907,3263.804602331133
Tri32,1443.4318745629466,5382.104214276226,1548.551647073173,6666.552012205022,1205.2509851334419,4337.426363535071,2483.909600076805,226.69868992346687,488.52773410829917,1133.9790522745632,3004.1567290954963,4533.147012278542,1946.2505736491496,7237.202073335015,4292.567030911697,4051.3891694154404,6195.831924534349,4854.890049379291,1866.5920838192221,8012.781138544778
Tri33,4945.070970715483,773.7204365907317,4250.854803232278,4738.06641150999,2423.2269668271892,6903.7375397164415,2095.676536993739,2110.7269276195398,2925.7544216895503,5836.711620448394,4631.620058914111,2313.093431569684,4347.685978515109,4811.850539458341,4946.182590119333,1073.8805156217745,3927.436079629096,4851.587680550654,3556.024405365801,6117.857378545151
Tri34,5639.526882111085,3230.576767669981,251.82907601358872,2379.835145908265,2430.815003731851,2632.8843803005684,1647.1654265826708,4864.508380326941,1216.7455276610976,7880.90928972389,3521.7412422247207,3525.8760815985893,1360.573725445871,2424.0318440256983,4830.415952653511,7563.310205005488,541.024852018547,1079.0607735883325,4422.660330848404,1256.0864279660127
Tri35,4600.023647541488,1477.0538745796248,4841.460242574859,2589.9213190067744,4716.643525846149,4924.170535996634,2352.802670021135,3132.948558743774,1052.8267635909367,3067.798969280592,2322.985142465354,5634.274114743533,2805.674308187491,3420.7323297962907,9312.318763341886,5778.045800210105,1759.9697114255198,3808.8669716141108,1817.861192805041,1398.2138713785987
Tri36,2755.836492725123,1000.4380693502992,2414.3720272405712,3024.5025834079556,423.63499788584767,3344.9056887913744,2842.5979848292814,5447.537198803245,1750.925580389616,3311.4991014525676,2836.2384291045014,822.3020551706157,1713.2626040422244,2334.091040544295,3907.852686659323,2597.4042120968184,1413.095568416115,3059.4214016402448,163.17259569262242,7590.981003177975
Tri37,1558.69745011417,3144.3150291633465,1054.5807692805251,4946.397261886911,3045.29424955662,5023.465326462125,2204.633780341806,3443.3531780970657,1034.944378420526,4334.959743487362,5477.797128819746,2215.308020985188,2911.1440962169927,2901.6474324558258,9819.785896307987,3898.332102640403,1169.214050273884,3212.014591289547,3801.3575165176553,4948.612156133685
Tri38,1919.3188197202278,2352.2426539024855,2061.085058135875,3323.6983960380694,1389.3615780448845,4801.397814972517,4437.909771812892,1223.3289645357434,999.1322800179219,4182.89663763793,2111.8268045391887,3876.5363618379947,1858.081055476684,3374.2614776679193,6977.646341231706,2296.2804082669486,2061.595099544361,1354.3267926696435,31.53240250510647,5418.384274390934
Tri39,4496.701717715725,2840.1457083915225,2457.6971860639687,1155.1391327038073,1294.322948522337,4400.6748111600555,4524.189495203177,4179.674083132044,1409.9663206748842,4268.572701274187,3729.6626093423556,2003.2144713641164,3158.475068650353,3589.822900840231,5923.047852159334,5620.7356632190795,1574.8748348380016,1589.692642960239,1017.52303178941,2388.8171142260076
Tri40,3101.556512841594,3821.932449814367,1738.2455226819097,5303.8865406241675,4189.467022220271,11811.244131403262,3558.3871028803883,4729.361348388583,3085.519536037064,10828.63063556225,3808.408276542802,4945.265611609464,5423.784312726352,1416.478814414621,6199.176261660751,4676.489033306638,3407.7520813411807,2786.8532510494842,2500.1874032027367,4205.661588826326
Tri41,4509.277608822052,1650.1139589893837,4042.3113181797107,8694.327412876604,944.7236638471021,3643.738429455523,1992.9953503380764,5695.0853998996845,2695.5215590827434,6924.755303929381,3465.295586702707,2677.0454720012995,2325.167877471315,899.8475621887999,4040.596547838903,5826.160850810912,1131.5418939913475,2682.002196573173,2196.2964296258515,1233.1449950767376
Tri42,5163.252163490945,3919.464201125104,1086.0937333344718,6687.009040383589,1521.3971506937803,5368.922508322328,1455.239468870479,694.7774798125694,809.9382359881903,3735.416932511903,4324.061110334355,4802.312420752089,4978.9964573960415,3822.252978094033,6303.663778338926,5636.911518778619,293.9965132082375,1243.4364957373489,3160.3788475156116,2864.7681950256815
Tri43,5407.053192244579,1320.4205788868699,3568.2248404642874,2817.4761578040993,953.5252816107592,2129.972281584164,3831.4481045330076,1376.906830591238,900.9523502439096,2345.970183139193,5778.785459221985,3421.308325559037,4551.091919338034,6436.917296183292,6851.793158080401,1658.4086163180798,3139.5941422410506,478.29495093756094,706.9296617691031,7683.120159004174
Tri44,2441.6136334613393,4071.7291791808207,1473.0505778843437,4629.632294576014,4133.906303415837,4716.120476653924,2745.6717983784083,62.21949592945919,3946.5796951007087,3819.1803247586035,3816.9570691073604,7521.24176899872,4798.083485685857,3074.0565637580953,1319.8853858782231,4254.035713035391,2768.938539942846,2052.496114409853,4873.245920390465,4742.643339329182
Tri45,4708.366341232009,1833.188497799486,1900.069155902086,3071.914600414636,4604.380796402556,5717.766788421058,2209.407833043535,5956.667865074605,1842.305820687733,4203.202604678404,2283.1707779426642,3099.288300899163,1680.7331627036624,1998.869574360993,5713.984714798607,3851.7214637657385,1246.0663843135005,2180.9484779840627,3136.7808146775974,6470.040626227718
Tri46,3054.146724872906,2999.397353837161,1606.7939432768762,2169.755800631876,1836.6020284144315,1455.2878274038467,1376.0356833280448,5993.132324085668,2819.651387367535,5678.333274144256,2964.811811912594,3709.5806931589473,441.4991101216117,3152.7354426334055,4173.081612284962,3686.954261479722,3790.497567726234,2155.9636000362234,535.623032187616,7901.435152296366
Tri47,6567.608377812114,5286.732849541176,473.2341278640356,404.57438963502767,226.34610597939607,5940.622430287573,4640.143913165227,669.2785254951127,179.57691070291304,3702.187454050489,3491.707440144387,8252.66546022029,3034.297352070224,2667.431276741824,4051.8424888179447,7825.239362471855,650.7517806193305,1500.7857962173562,4420.308882633226,2866.283300799767
Tri48,6321.255472509103,2317.9482027905688,4193.554403383738,1943.3734229254708,6547.279452982,6260.705297937058,80.55406778109275,2365.360162544763,1316.9878109599804,5434.80683040652,2451.6896107601024,5012.003730141326,3640.516429367889,2960.0723503346,7856.287729949531,3252.186325032728,690.691690240235,1054.4801116591223,2506.572115147082,3611.461119041519
Tri49,2363.261050756641,3933.7047107848352,2635.925878825123,4457.069061595728,1284.615121900961,2115.398423099029,2852.166939101541,3264.8537175045285,670.1788068612726,2569.9767570374597,1057.699348472316,2723.4926441061125,3391.153996388883,3543.19355676199,199.53787165841595,7878.344166731813,3901.363831617026,2755.9464371103945,,4418.841575879231
Tri50,4840.773012608146,1359.5614832695833,3914.841481047157,2196.4103451628,2472.5310593245263,6393.751922066654,1527.6904601829135,4776.293131748276,244.58930669893542,6582.874901999516,4712.64405409718,1453.7000577132762,2296.252054713949,4126.398827979001,3939.848610433948,6201.065837578234,3101.946196141246,4481.366842502077,,5683.823062467905
Tri51,1501.6474317114353,1585.4031095868,4383.262671958539,1036.0167181102088,1563.7709150715323,4015.836733829076,113.35295497789377,4440.386041713303,309.3644525975783,7287.257932017803,2548.672156952835,2345.1119723656293,2766.4173080047194,1144.83906467256,2095.093453833462,2725.8944250846343,3156.9561101601967,2217.1242108043257,,1188.7837057560246
Tri52,1063.876179864335,1697.614846189059,717.9024496687339,3485.0897341399286,2353.489804759629,5502.689435573376,4818.248170727507,3005.281632951018,1339.3552541738636,4303.324601441734,4380.9461440638,3736.289808377433,2374.627558778558,4886.42763340177,1002.3274891754339,2745.6290948728165,3311.8411365165503,3073.430851017522,,3528.935974746177
Tri53,1694.71808258104,2378.128929096248,4842.314819066477,1569.0724864084787,2045.5028828606041,1421.1055118547383,2865.7265093763135,4824.2149309994,799.2114216247469,8023.239544971729,4934.425926627094,1596.3034877008408,725.2762143853715,3463.422134110091,10599.287403232418,4984.758181764819,3032.022361602979,1966.5929515906666,,5985.420306419698
Tri54,7350.23107452389,2570.299204658872,2672.114249060812,6641.690066691702,1342.456336164447,8963.837402055136,973.6645502480502,3699.263264790834,1246.1365259623512,3621.7338141778955,3134.114451900679,4724.891094930609,3028.842734840391,3960.0080310600665,6817.223755946791,5074.39601290476,3146.516536209622,1528.151653241511,,7061.139090895444
Tri55,6048.2760027246095,4239.6984051845,1930.387130992679,3009.3253993054304,1357.2982643154344,5984.90488052432,1330.760177621171,2909.8105729960507,588.2828747392192,4970.731646460305,2488.265232842784,1301.5160265909951,4327.774433217795,3579.5688148810195,7212.826898616432,3815.098804475315,590.7780991768416,2403.595642914115,,6326.782573824727
Tri56,1182.317412192698,1241.3527238062163,4345.577586180001,2311.1683535472416,2306.845458601895,5802.50123956582,6248.40618383035,2489.882526691576,1734.7436997274444,2047.2609638057447,1561.6409921515478,2029.8655674371053,1287.2613448793704,4458.911907427943,9422.782302192656,6396.046458411972,4855.012140882447,3707.299262107191,5742.238430971663,6294.618445838061
Tri57,5465.985334187047,4221.297853808303,2229.881857312089,2067.71076606328,1666.7977160288565,951.2320031933193,5851.227967079449,2728.098729121829,3674.16117943581,6469.184780587506,2218.1105185997303,4370.593287773931,1878.5701155421561,3803.065781295883,6562.825281150652,4576.84771442274,3193.4531894948527,277.2504925745052,1775.5443782248435,3523.412055986321
Tri58,2602.754770429774,3306.3473756333906,1963.3791228469431,1619.9048870530733,2594.10096111231,45454.0,3538.1500459922836,2392.34306527519,1690.1936194345853,5212.46130636436,5005.449199670921,6635.727552936776,3329.601785736953,2529.085562848131,8504.980480013817,1950.6231366359016,1578.0341713983544,1281.8524009274672,757.3117685419031,4616.766078876983
Tri59,1036.611390717324,1383.3364519317092,5458.582030367392,3871.4051905049073,2698.357659440342,3638.0227566586914,2751.0098592260124,6913.815257488357,2084.4167454794533,3757.800555984685,6863.824102002949,5239.2459359390905,4195.773021946589,2486.6799552545717,4998.625440102106,1157.5985936492054,830.7545711273581,2770.453406241151,3507.6308244307975,4040.232543339908
Tri60,1102.1592826463861,2953.136711624498,1064.346814555372,5509.726981468735,2859.477524695125,2828.1856381583975,1809.878333547232,5008.314813881586,1257.3295839329921,1806.2092188272647,3739.4640843822995,4137.487457976516,3139.622562729156,680.3364119424308,5727.8099625717,3485.6478081677337,4859.937681806724,4905.756135621802,3338.525039350017,1752.0116540159556
Tri61,2857.6646654903575,2377.024896365259,2374.038328597534,4667.615627111695,2601.529101301869,1946.0162276199255,2167.8426614278897,4702.0700138550965,1670.412152578476,6906.856548494244,2995.6388017800905,359.67422200696717,3848.76306436679,3785.4925531042804,7551.734899142564,1756.4601184881942,1827.8369688496343,2937.8606221482805,3760.478204627144,5000.368650593837
Tri62,2556.3665411527963,2022.7607485422486,619.9108497359992,3382.9206435184906,1380.424745246482,2511.098915129182,2766.7097952578006,8960.230016181542,321.02467713495133,3707.9436040615255,1821.154123866684,2884.29327294533,671.5229780066592,1483.9128675251714,3057.111816682901,2409.2376984212674,5147.017193353857,2990.9270301914735,1973.0883146919562,1719.8957199605256
Tri63,2017.6209663192046,1863.5197013286634,3031.5827567517354,5260.679802227536,3654.7000353073913,2573.538725090184,1287.824604833378,1465.990994915137,321.8561208918379,6424.542928895137,2293.913080861434,3198.940726126903,2922.8556882382427,1155.4531363908598,3722.3728737839574,1170.8120051415794,4253.652741834108,1513.813874307898,1604.9032882097702,2610.2874129849374
Tri64,3608.3601249617923,417.4691269755664,2650.5232265699833,8170.474350497678,2766.859545633817,4069.8532032681296,2025.454226177963,708.5942188319352,1497.8720658722802,3919.452696393952,3759.6012655726954,5049.035120651483,3028.253464018316,2500.0586109770916,9253.86550913635,5714.925724988691,542.1434160833364,3724.415649415383,707.1248252052445,3687.967464925103
Tri65,2833.2621713080757,3319.641887913797,1950.4134290140169,5349.542345207905,2553.324001707328,3871.7715303150817,3881.1534887972216,5729.47887318686,563.3125516542564,4951.794357668558,5979.941123145865,6101.520168366986,2285.790204141984,1765.1107831339448,5193.653819346106,6144.297255742419,2836.002173702093,4578.009087977197,3157.9153806374793,4365.268996118911
Tri66,101.14314296967785,3104.716098006067,844.3872016776737,2792.692488653521,1101.4798825429768,3623.522682667151,977.7752842346151,6307.2541144320285,5830.222220537924,9853.651427697341,2401.081616224361,4239.004871618856,5719.297129090326,1421.3085400419327,4658.11717248427,7213.856914185113,5122.526097853107,2514.576351904636,2400.7743903919145,8908.439194989269
Tri67,3332.7676092531947,3186.4582889604703,437.1664615249724,4274.482374383314,4186.796913023042,7689.175536347477,734.741025588364,5757.36547310201,1774.2855086807979,3795.623787567646,2942.371969471994,1968.8478642109771,2190.6883073214462,4531.647960903816,3055.346958906161,1828.9278795889268,3350.5852076227543,1111.118562622902,1692.466401110349,1430.4496620344908
Tri68,3798.873514856659,1582.9386714133907,2664.4659893778685,4372.2457210096245,1868.9630233924543,5309.195584779998,3430.6141234478555,1505.3410256697002,3484.7864903338163,4658.644352466063,3042.8138664909134,4864.617017164113,2536.1174718693396,2417.2155998391195,5398.39663659956,5220.67546644256,2842.3074703207735,1546.7008043939468,2151.0331917742988,3936.2848202207724
Tri69,3295.052459544119,4169.552732046559,2875.3651004368885,5730.550360190918,5089.85195106306,9941.041221777463,2372.766958446157,712.5971687417785,833.1120378341333,3135.344416988109,6882.624409307231,5659.601211387318,3742.616705261158,3986.513777582043,4020.357116015959,5801.526320318688,589.3655327344818,2688.5691009881557,1121.4541522443265,3029.1641601828496
Tri70,2033.6842218504194,2576.5814630711993,1000.2401345526488,2751.222535238075,2159.881330987639,4914.177664036801,2262.0657947921154,3956.9337209236887,427.32818938863346,6508.643987263753,6878.71512250597,4421.165174355542,3401.286811250495,1191.2643151236057,3416.3263436598386,6803.9593038356315,1039.5051202452828,3510.3741057619773,3775.691487479291,3855.2593921815883
Tri71,3527.9247234432246,2163.2355084001606,4529.367620319515,5173.372705011627,1787.0899513614181,4302.775435547801,1974.553864224906,4513.419447490926,1559.119057242926,5314.362312960224,3563.892362416179,6700.771129836609,2424.4618870143095,2973.603983766592,4143.106864571129,2145.005717710423,3216.6838066652394,1580.5809897749775,3201.8271662291686,3006.531994383225
Tri72,2887.4129707817906,5502.356296036176,778.4076591069804,1664.6605531397975,4214.579249367347,1118.3094425072334,966.2221812782295,1044.9604454624853,398.9399460344796,7767.156388479803,2693.6810586874176,1694.0891628290967,3008.645999092306,688.5540707950055,3501.821612068352,4973.265139113804,239.2345545600095,2064.5020768406416,3682.597752736155,4135.022263824442
Tri73,3842.8023474872416,4787.63174283254,3625.8537216197883,2872.9505459257643,961.575806154306,5041.405180218117,3282.506705053039,5559.687299033404,48.358292094238365,5000.985621722327,4237.756782933581,5939.208543764338,2377.740651406564,2435.209133502342,352.33194217321903,6542.590602992236,102.23795228274545,2222.7591860548914,3639.4871414955683,3086.4503485763667
Tri74,3079.6144304790787,1638.4986126404206,2011.8611414270874,3884.53206397823,3188.043305976933,6601.968669396229,381.30558228973433,2904.793779079361,2757.2332335557376,4309.651635553814,3889.435918120378,1106.3060963558614,2489.806045316505,4605.983596169522,5729.681153519457,3663.7197270156603,1181.6594796214958,933.6301073287816,1547.6931863706213,2960.674822388035
Tri75,1198.5265642782133,5210.811389689334,533.4684241859158,3579.098170702381,1215.229262658406,5192.536538044942,1827.983762049715,3334.173442234724,1000.6213051362682,9668.566552419677,3680.870634783433,6871.694329815766,2479.965080043315,841.9483129010177,8602.43508895507,3549.56546982286,2358.7130001389264,3049.4643330818167,2907.9887349358505,2316.2327321444277
Tri76,105.4972041302048,2031.3384684906239,4881.780500812677,5169.89680915012,2533.816249469749,4075.1425356724712,5435.661103560628,2582.0208196593526,1983.8172630481256,3092.7619137419256,7059.548302452206,3433.8568769872236,2047.4328315508515,2381.731026919139,3920.8101685465526,3652.760268790197,4864.59095127418,332.86110220480225,1678.0582565551485,3643.6337881799086
Tri77,89.29260893041769,2461.3830876516954,562.8862312004197,2953.2014448536156,3323.1483337306145,8794.715924341876,509.2610583252103,1150.5494331351206,2412.0210499494656,3500.5873403087885,4818.932992731591,4769.070627224911,1124.9464615677907,1276.7019488107464,2647.8178434691663,1424.8718764720584,4566.898331110706,4025.0699895844086,2025.7458406667101,2954.6925198491795
Tri78,2700.2501440422907,2308.1225203069853,1267.8628310840795,2925.5302022806027,3205.160805190809,2081.6500048686307,3422.7707808460927,5970.898525663517,1597.9800760196028,8631.450252503402,3486.427937453479,6822.956170468152,3043.7823236074273,1130.8155804868172,220.41289188078972,9135.655465827003,1928.5334319866588,2191.910098665292,1750.5664163981526,5579.156662942385
Tri79,4258.020167337359,1453.9866968956985,5915.384098711029,4132.6827627511875,2002.1170051466695,4498.628666268971,1463.9142084743671,7010.404666710725,879.2009205068869,1091.6253722236754,2704.4971308274066,3431.3142973306644,28.354830957221132,2639.5318989116304,3566.933939365068,2063.34736143046,6855.120382114773,1204.45918429624,2686.1214459350913,7537.298684846566
